;;;;;;
;;;;;;
;SS;;;;;
51,;1004.91;;;;;
52,;1004.77;;;;;
53,;1004.42;;;;;
54,;1001.91;;;;;
55,;999.035;;;;;
56,;996.32;;;;;
57,;995.116;;;;;
58,;995.265;;;;;
59,;996.532;;;;;
60,;996.848;;;;;
61,;995.935;;;;;
62,;994.984;;;;;
63,;997.027;;;;;
64,;996.107;;;;;
65,;994.624;;;;;
66,;995.456;;;;;
67,;996.53;;;;;
68,;997.483;;;;;
69,;997.133;;;;;
70,;999.21;;;;;
71,;999.869;;;;;
72,;1000.43;;;;;
73,;999.3;;;;;
74,;996.724;;;;;
75,;996.555;;;;;
76,;997.283;;;;;
77,;996.023;;;;;
78,;992.122;;;;;
79,;988.524;;;;;
80,;987.356;;;;;
81,;986.071;;;;;
82,;984.685;;;;;
83,;984.167;;;;;
84,;984.503;;;;;
85,;985.48;;;;;
86,;987.349;;;;;
87,;988.163;;;;;
88,;989.206;;;;;
89,;985.97;;;;;
90,;985.3;;;;;
91,;985.83;;;;;
92,;986.007;;;;;
93,;986.672;;;;;
94,;990.055;;;;;
95,;992.909;;;;;
96,;991.858;;;;;
97,;991.587;;;;;
98,;990.642;;;;;
99,;989.163;;;;;
100,;989.324;;;;;
101,;989.071;;;;;
102,;989.308;;;;;
103,;990.945;;;;;
104,;989.493;;;;;
105,;989.556;;;;;
106,;991.592;;;;;
107,;992.328;;;;;
108,;992.43;;;;;
109,;992.051;;;;;
110,;995.39;;;;;
111,;995.019;;;;;
112,;998.283;;;;;
113,;1001.3;;;;;
114,;999.997;;;;;
115,;1001.82;;;;;
116,;1001.97;;;;;
117,;1004.38;;;;;
118,;1004.08;;;;;
119,;1004.28;;;;;
120,;1004.1;;;;;
121,;1004.22;;;;;
122,;1003.16;;;;;
123,;1006.66;;;;;
124,;1009.82;;;;;
125,;1005.74;;;;;
126,;1003.08;;;;;
127,;1003.55;;;;;
128,;1006.15;;;;;
129,;1009.71;;;;;
130,;1009.39;;;;;
131,;1004.01;;;;;
132,;1002.72;;;;;
133,;1005.49;;;;;
134,;1008.32;;;;;
135,;1007.79;;;;;
136,;1009.94;;;;;
137,;1013.39;;;;;
138,;1012.44;;;;;
139,;1010.97;;;;;
140,;1013.9;;;;;
141,;1014.12;;;;;
142,;1012.28;;;;;
143,;1011.75;;;;;
144,;1012.08;;;;;
145,;1012.06;;;;;
1,;373.511;;;;;
2,;374.72;;;;;
3,;374.297;;;;;
4,;373.091;;;;;
5,;371.942;;;;;
6,;369.925;;;;;
7,;368.804;;;;;
8,;367.961;;;;;
9,;367.043;;;;;
10,;366.204;;;;;
11,;700.153;;;;;
12,;773.993;;;;;
13,;780.619;;;;;
14,;786.254;;;;;
15,;788.676;;;;;
16,;786.615;;;;;
17,;786.659;;;;;
18,;788.027;;;;;
19,;788.012;;;;;
20,;788.649;;;;;
21,;789.497;;;;;
22,;790.195;;;;;
23,;790.859;;;;;
24,;790.253;;;;;
25,;797.84;;;;;
26,;831.953;;;;;
27,;837.609;;;;;
28,;837.716;;;;;
29,;838.445;;;;;
30,;844.059;;;;;
31,;843.937;;;;;
32,;844.497;;;;;
33,;847.239;;;;;
34,;852.149;;;;;
35,;856.938;;;;;
36,;860.081;;;;;
37,;862.352;;;;;
38,;866.122;;;;;
39,;865.704;;;;;
40,;865.108;;;;;
41,;866.012;;;;;
42,;866.757;;;;;
43,;868.234;;;;;
44,;867.141;;;;;
45,;864.89;;;;;
46,;864.69;;;;;
47,;862.791;;;;;
48,;862.116;;;;;
49,;864.405;;;;;
50,;864.246;;;;;
51,;863.537;;;;;
52,;862.986;;;;;
53,;863.164;;;;;
54,;861.228;;;;;
55,;859.19;;;;;
56,;859.048;;;;;
57,;859.441;;;;;
58,;860.093;;;;;
59,;861.897;;;;;
60,;862.13;;;;;
61,;861.324;;;;;
62,;860.541;;;;;
63,;861.889;;;;;
64,;860.211;;;;;
65,;860.033;;;;;
66,;861.302;;;;;
67,;862.902;;;;;
68,;863.356;;;;;
69,;862.922;;;;;
70,;864.392;;;;;
71,;864.415;;;;;
72,;864.088;;;;;
73,;863.671;;;;;
74,;863.376;;;;;
75,;862.666;;;;;
76,;862.571;;;;;
77,;861.71;;;;;
78,;859.623;;;;;
79,;858.491;;;;;
80,;858.843;;;;;
81,;858.108;;;;;
82,;856.203;;;;;
83,;855.964;;;;;
84,;856.306;;;;;
85,;857.406;;;;;
86,;859.287;;;;;
87,;859.779;;;;;
88,;858.716;;;;;
89,;856.869;;;;;
90,;856.975;;;;;
91,;856.571;;;;;
92,;856.577;;;;;
93,;857.096;;;;;
94,;859.547;;;;;
95,;859.567;;;;;
96,;857.091;;;;;
97,;856.967;;;;;
98,;856.43;;;;;
99,;854.96;;;;;
100,;855.191;;;;;
101,;855.306;;;;;
102,;854.854;;;;;
103,;855.385;;;;;
104,;853.444;;;;;
105,;852.718;;;;;
106,;854.089;;;;;
107,;853.746;;;;;
108,;852.761;;;;;
109,;851.699;;;;;
110,;853.926;;;;;
111,;853.346;;;;;
112,;856.009;;;;;
113,;856.915;;;;;
114,;855.343;;;;;
115,;856.667;;;;;
116,;855.388;;;;;
117,;857.589;;;;;
118,;855.839;;;;;
119,;856.162;;;;;
120,;854.785;;;;;
121,;854.479;;;;;
122,;854.175;;;;;
123,;858.635;;;;;
124,;858.496;;;;;
125,;853.167;;;;;
126,;853.005;;;;;
127,;853.692;;;;;
128,;854.806;;;;;
129,;857.199;;;;;
130,;855.72;;;;;
131,;851.466;;;;;
132,;851.013;;;;;
133,;854.109;;;;;
134,;855.15;;;;;
135,;854.331;;;;;
136,;855.362;;;;;
137,;856.871;;;;;
138,;855.193;;;;;
139,;855.545;;;;;
140,;857.657;;;;;
141,;855.805;;;;;
142,;854.083;;;;;
143,;852.899;;;;;
144,;853.02;;;;;
145,;853.34;;;;;
